wasm-vm virtio-gpu command trace v1
records=587 dropped=0
seq=0 command=GET_EDID(0x0000010a) response=RESP_OK_EDID(0x00001104) scanout=0 resource=- dimensions=1280x800 avail=1 used=1 head=0 len=1056
seq=1 command=GET_DISPLAY_INFO(0x00000100) response=RESP_OK_DISPLAY_INFO(0x00001101) scanout=0 resource=- dimensions=1280x800 avail=2 used=2 head=2 len=408
seq=2 command=RESOURCE_CREATE_2D(0x00000101) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=3 used=3 head=2 len=24
seq=3 command=RESOURCE_ATTACH_BACKING(0x00000106) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=4 used=4 head=0 len=24
seq=4 command=SET_SCANOUT(0x00000103) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=0 dimensions=- avail=5 used=5 head=0 len=24
seq=5 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=6 used=6 head=4 len=24
seq=6 command=SET_SCANOUT(0x00000103) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=7 used=7 head=3 len=24
seq=7 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=8 used=8 head=6 len=24
seq=8 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=9 used=9 head=8 len=24
seq=9 command=SET_SCANOUT(0x00000103) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=10 used=10 head=10 len=24
seq=10 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=11 used=11 head=12 len=24
seq=11 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=12 used=12 head=14 len=24
seq=12 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=13 used=13 head=16 len=24
seq=13 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=14 used=14 head=16 len=24
seq=14 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=15 used=15 head=14 len=24
seq=15 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=16 used=16 head=14 len=24
seq=16 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=17 used=17 head=16 len=24
seq=17 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=18 used=18 head=16 len=24
seq=18 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=19 used=19 head=14 len=24
seq=19 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=20 used=20 head=14 len=24
seq=20 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=21 used=21 head=16 len=24
seq=21 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=22 used=22 head=16 len=24
seq=22 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=23 used=23 head=14 len=24
seq=23 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=24 used=24 head=14 len=24
seq=24 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=25 used=25 head=16 len=24
seq=25 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=26 used=26 head=16 len=24
seq=26 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=27 used=27 head=14 len=24
seq=27 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=28 used=28 head=14 len=24
seq=28 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=29 used=29 head=16 len=24
seq=29 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=30 used=30 head=16 len=24
seq=30 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=31 used=31 head=14 len=24
seq=31 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=32 used=32 head=14 len=24
seq=32 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=33 used=33 head=16 len=24
seq=33 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=34 used=34 head=16 len=24
seq=34 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=35 used=35 head=14 len=24
seq=35 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=36 used=36 head=14 len=24
seq=36 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=37 used=37 head=16 len=24
seq=37 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=38 used=38 head=16 len=24
seq=38 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=39 used=39 head=14 len=24
seq=39 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=40 used=40 head=14 len=24
seq=40 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=41 used=41 head=16 len=24
seq=41 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=42 used=42 head=16 len=24
seq=42 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=43 used=43 head=14 len=24
seq=43 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=44 used=44 head=14 len=24
seq=44 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=45 used=45 head=16 len=24
seq=45 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=46 used=46 head=16 len=24
seq=46 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=47 used=47 head=14 len=24
seq=47 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=48 used=48 head=14 len=24
seq=48 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=49 used=49 head=16 len=24
seq=49 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=50 used=50 head=16 len=24
seq=50 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=51 used=51 head=14 len=24
seq=51 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=52 used=52 head=14 len=24
seq=52 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=53 used=53 head=16 len=24
seq=53 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=54 used=54 head=16 len=24
seq=54 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=55 used=55 head=14 len=24
seq=55 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=56 used=56 head=14 len=24
seq=56 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=57 used=57 head=16 len=24
seq=57 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=58 used=58 head=16 len=24
seq=58 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=59 used=59 head=14 len=24
seq=59 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=60 used=60 head=14 len=24
seq=60 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=61 used=61 head=16 len=24
seq=61 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=62 used=62 head=16 len=24
seq=62 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=63 used=63 head=14 len=24
seq=63 command=TRANSFER_TO_HOST_2D(0x00000105) response=RESP_OK_NODATA(0x00001100) scanout=- resource=2 dimensions=1280x800 avail=64 used=64 head=14 len=24
seq=64 command=RESOURCE_FLUSH(0x00000104) response=RESP_OK_NODATA(0x00001100) scanout=0 resource=2 dimensions=1280x800 avail=65 used=65 head=16 len=24
